datetime,locationID,car_type
2017-01-01 01:30:02,173,taxi
2017-01-01 01:30:02,89,taxi
2017-01-01 01:30:02,256,taxi
2017-01-01 01:30:03,80,taxi
2017-01-01 01:30:03,227,taxi
2017-01-01 01:30:04,166,taxi
2017-01-01 01:30:04,7,taxi
2017-01-01 01:30:04,7,taxi
2017-01-01 01:30:05,223,taxi
2017-01-01 01:30:06,42,taxi
2017-01-01 01:30:06,129,taxi
2017-01-01 01:30:07,36,taxi
2017-01-01 01:30:07,181,taxi
2017-01-01 01:30:09,82,taxi
2017-01-01 01:30:13,112,taxi
2017-01-01 01:30:14,244,taxi
2017-01-01 01:30:15,181,taxi
2017-01-01 01:30:16,41,taxi
2017-01-01 01:30:19,181,taxi
2017-01-01 01:30:19,82,taxi
2017-01-01 01:30:21,41,taxi
2017-01-01 01:30:21,42,taxi
2017-01-01 01:30:21,49,taxi
2017-01-01 01:30:22,112,taxi
2017-01-01 01:30:22,112,taxi
2017-01-01 01:30:23,74,taxi
2017-01-01 01:30:23,226,taxi
2017-01-01 01:30:24,181,taxi
2017-01-01 01:30:24,61,taxi
2017-01-01 01:30:24,255,taxi
2017-01-01 01:30:25,256,taxi
2017-01-01 01:30:25,133,taxi
2017-01-01 01:30:25,82,taxi
2017-01-01 01:30:26,223,taxi
2017-01-01 01:30:26,49,taxi
2017-01-01 01:30:27,36,taxi
2017-01-01 01:30:29,130,taxi
2017-01-01 01:30:29,223,taxi
2017-01-01 01:30:32,97,taxi
2017-01-01 01:30:32,112,taxi
2017-01-01 01:30:33,80,taxi
2017-01-01 01:30:34,33,taxi
2017-01-01 01:30:34,145,taxi
2017-01-01 01:30:34,226,taxi
2017-01-01 01:30:36,42,taxi
2017-01-01 01:30:39,80,taxi
2017-01-01 01:30:40,42,taxi
2017-01-01 01:30:41,189,taxi
2017-01-01 01:30:42,119,taxi
2017-01-01 01:30:43,112,taxi
2017-01-01 01:30:43,112,taxi
2017-01-01 01:30:43,255,taxi
2017-01-01 01:30:44,61,taxi
2017-01-01 01:30:44,80,taxi
2017-01-01 01:30:44,146,taxi
2017-01-01 01:30:44,188,taxi
2017-01-01 01:30:45,260,taxi
2017-01-01 01:30:47,36,taxi
2017-01-01 01:30:49,244,taxi
2017-01-01 01:30:49,228,taxi
2017-01-01 01:30:50,255,taxi
2017-01-01 01:30:51,52,taxi
2017-01-01 01:30:52,181,taxi
2017-01-01 01:30:52,226,taxi
2017-01-01 01:30:52,112,taxi
2017-01-01 01:30:52,25,taxi
2017-01-01 01:30:52,228,taxi
