LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
184,Bronx,Pelham Bay Park,Boro Zone,40.85759229999999,-73.85963606359,"(40.8575923, -73.85963606359)",40.86,-73.9,dr72rm
185,Bronx,Pelham Parkway,Boro Zone,40.750298,-73.993324,"(40.750298, -73.993324)",40.75,-74.0,dr5ru4
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.6331592,-74.1365318,"(40.6331592, -74.1365318)",40.64,-74.1,dr5r0v
187,Staten Island,Port Richmond,Boro Zone,40.661429999999996,-73.97035,"(40.66143, -73.97035)",40.66,-74.0,dr5rkf
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.6778708,-73.9684725,"(40.6778708, -73.9684725)",40.68,-74.0,dr5rkv
189,Brooklyn,Prospect Heights,Boro Zone,40.66177525,-73.971099842403,"(40.66177525, -73.971099842403)",40.66,-74.0,dr5rkd
190,Brooklyn,Prospect Park,Boro Zone,40.72676920000001,-73.7415208,"(40.7267692, -73.7415208)",40.73,-73.7,dr5x9y
191,Queens,Queens Village,Boro Zone,-33.874913899999996,151.22774428399998,"(-33.8749139, 151.227744284)",-33.87,151.2,r3gx33
192,Queens,Queensboro Hill,Boro Zone,40.7615209,-73.9334640810134,"(40.7615209, -73.9334640810134)",40.76,-73.9,dr5rvs
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.796767700000004,-73.92208149999999,"(40.7967677, -73.9220815)",40.79,-73.9,dr72jf
194,Manhattan,Randalls Island,Yellow Zone,40.6751032,-74.00958409999998,"(40.6751032, -74.0095841)",40.67,-74.0,dr5r7u
195,Brooklyn,Red Hook,Boro Zone,40.72293705,-73.86220651513041,"(40.72293705, -73.8622065151304)",40.72,-73.9,dr5rxj
196,Queens,Rego Park,Boro Zone,40.699425299999994,-73.8309672,"(40.6994253, -73.8309672)",40.7,-73.8,dr5rxc
197,Queens,Richmond Hill,Boro Zone,40.7080556,-73.9141667,"(40.7080556, -73.9141667)",40.71,-73.9,dr5rw4
198,Queens,Ridgewood,Boro Zone,40.79193175,-73.8834937172795,"(40.79193175, -73.8834937172795)",40.79,-73.9,dr72n9
199,Bronx,Rikers Island,Boro Zone,39.7922804,-84.2102191,"(39.7922804, -84.2102191)",39.79,-84.2,dph47e
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.5805104,-73.83615350000001,"(40.5805104, -73.8361535)",40.58,-73.8,dr5qzg
201,Queens,Rockaway Park,Boro Zone,40.7614177,-73.9502281671115,"(40.7614177, -73.9502281671115)",40.76,-74.0,dr5rvh
202,Manhattan,Roosevelt Island,Boro Zone,40.6620479,-73.7354097,"(40.6620479, -73.7354097)",40.66,-73.7,dr5x64
203,Queens,Rosedale,Boro Zone,40.5434385,-74.1976441,"(40.5434385, -74.1976441)",40.54,-74.2,dr5nxs
204,Staten Island,Rossville/Woodrow,Boro Zone,40.6984364,-73.7606881,"(40.6984364, -73.7606881)",40.7,-73.8,dr5x98
205,Queens,Saint Albans,Boro Zone,40.645348999999996,-74.0929616,"(40.645349, -74.0929616)",40.65,-74.1,dr5r1z
206,Staten Island,Saint George/New Brighton,Boro Zone,40.745379799999995,-73.9054145,"(40.7453798, -73.9054145)",40.75,-73.9,dr5ry1
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.8226008,-73.8095781,"(40.8226008, -73.8095781)",40.82,-73.8,dr780r
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.705775200000005,-74.00283759999999,"(40.7057752, -74.0028376)",40.71,-74.0,dr5rs4
209,Manhattan,Seaport,Yellow Zone,40.5826303,-73.9456187,"(40.5826303, -73.9456187)",40.58,-73.9,dr5qv7
210,Brooklyn,Sheepshead Bay,Boro Zone,40.722879999999996,-73.9987505,"(40.72288, -73.9987505)",40.72,-74.0,dr5rsj
211,Manhattan,SoHo,Yellow Zone,40.826666700000004,-73.82861109999999,"(40.8266667, -73.8286111)",40.83,-73.8,dr72rb
212,Bronx,Soundview/Bruckner,Boro Zone,40.8189076,-73.8499209,"(40.8189076, -73.8499209)",40.82,-73.8,dr72pw
213,Bronx,Soundview/Castle Hill,Boro Zone,40.5979271,-74.0980274,"(40.5979271, -74.0980274)",40.6,-74.1,dr5qcy
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.6914852,-73.8056771,"(40.6914852, -73.8056771)",40.69,-73.8,dr5x2x
215,Queens,South Jamaica,Boro Zone,40.670103499999996,-73.8190231,"(40.6701035, -73.8190231)",40.67,-73.8,dr5x25
216,Queens,South Ozone Park,Boro Zone,33.775115,-79.59923,"(33.775115, -79.59923)",33.77,-79.6,dnp2hs
217,Brooklyn,South Williamsburg,Boro Zone,40.678159,-73.746521,"(40.678159, -73.746521)",40.68,-73.7,dr5x3v
218,Queens,Springfield Gardens North,Boro Zone,40.678159,-73.746521,"(40.678159, -73.746521)",40.68,-73.7,dr5x3v
219,Queens,Springfield Gardens South,Boro Zone,40.878705100000005,-73.9051408,"(40.8787051, -73.9051408)",40.88,-73.9,dr72w1
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.6264774,-74.07763609999999,"(40.6264774, -74.0776361)",40.62,-74.1,dr5r47
221,Staten Island,Stapleton,Boro Zone,40.6478541,-73.8795154568842,"(40.6478541, -73.8795154568842)",40.65,-73.9,dr5rnz
222,Brooklyn,Starrett City,Boro Zone,40.7745459,-73.90374770000001,"(40.7745459, -73.9037477)",40.77,-73.9,dr5ryq
223,Queens,Steinway,Boro Zone,40.7340429,-73.9776225,"(40.7340429, -73.9776225)",40.73,-74.0,dr5rsx
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.68211229999999,-73.9347885534563,"(40.6821123, -73.9347885534563)",40.68,-73.9,dr5rmt
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.7398242,-73.93541529999999,"(40.7398242, -73.9354153)",40.74,-73.9,dr5rv8
226,Queens,Sunnyside,Boro Zone,40.644337,-74.007532,"(40.644337, -74.007532)",40.65,-74.0,dr5r5z
227,Brooklyn,Sunset Park East,Boro Zone,40.644337,-74.007532,"(40.644337, -74.007532)",40.65,-74.0,dr5r5z
228,Brooklyn,Sunset Park West,Boro Zone,21.701497194,-157.99082937,"(21.701497194, -157.99082937)",21.7,-158.0,87zeky
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.7802614,-73.9687746503599,"(40.7802614, -73.9687746503599)",40.78,-74.0,dr5ruz
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.7141,-74.0028,"(40.7141, -74.0028)",40.71,-74.0,dr5rs5
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.71528120000001,-73.9892866198562,"(40.7152812, -73.9892866198562)",40.71,-74.0,dr5rs7
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.754,-73.9668,"(40.754, -73.9668)",40.76,-74.0,dr5rug
233,Manhattan,UN/Turtle Bay South,Yellow Zone,45.502990999999994,-73.567464,"(45.502991, -73.567464)",45.5,-73.6,f25dvg
234,Manhattan,Union Sq,Yellow Zone,40.8498223,-73.919859,"(40.8498223, -73.919859)",40.85,-73.9,dr72mu
235,Bronx,University Heights/Morris Heights,Boro Zone,40.773543100000005,-73.95873370000001,"(40.7735431, -73.9587337)",40.77,-74.0,dr5rvn
236,Manhattan,Upper East Side North,Yellow Zone,40.773543100000005,-73.95873370000001,"(40.7735431, -73.9587337)",40.77,-74.0,dr5rvn
237,Manhattan,Upper East Side South,Yellow Zone,40.787045500000005,-73.97541629999999,"(40.7870455, -73.9754163)",40.79,-74.0,dr72h9
238,Manhattan,Upper West Side North,Yellow Zone,40.787045500000005,-73.97541629999999,"(40.7870455, -73.9754163)",40.79,-74.0,dr72h9
